"zipcode","pct_female","total_pop","pct_white","pct_black","pct_latino","pct_foreig","pct_public","pct_never_","pct_povert","median_hh_","gini_index","pct_unempl","pct_bachel","pct_only_e","age_18_19","age_20_24","age_25_34","age_35_44","age_0_5","age_5_9","age_10_14","age_15_17","pct_pop_ch","pop_densit","pct_rentin","median_ren","age_45_54","age_55_64","age_65_74","age_75_84","age_85_plu","trump16pct","ducey18pct","yestaxpct","trump20pct","countyname","pct_emp_info","pct_emp_finance","pct_emp_profess","pct_emp_ed_health","pct_emp_agri","pct_emp_mining","pct_emp_construct","pct_emp_manufac","pct_emp_wholesale","pct_emp_retail","pct_emp_transpo","pct_emp_hospitality","pct_emp_other_serv","pct_emp_govt","case_count_mail","case_count_ed","log_case_count_mail","log_case_count_ed","cases_1k","tribal_zip","under18","age_18_65","over65","ln_pop","yestaxpct_z","emp_pct_chg","pay_pct_chg","emp_pct_loss","pay_pct_loss"
84536,48.089,1753,6.2179,0,0.3423,0.1711,0.3774,66.3904,50.7701,24869.486247935,0.51377632634162,2.9344,4.249,9.9179,4.3925,6.5031,7.587,18.1974,11.2949,5.9897,6.8454,6.7884,-16.9981,2.9349,16.9856,381.23251130422,14.3183,4.9629,7.8722,3.7079,0.2852,0.10391,0.24077,59.517,0.13629,"Navajo",0,0.8163,3.6735,25.102,1.2245,4.4898,6.5306,16.5306,0.8163,12.0408,2.0408,22.0408,0.8163,3.8776,NA,NA,NA,NA,NA,0,30.9184,55.9612,11.8653,7.46908388492123,0.848672581860885,-56.7282321899736,8.08823529411765,56.7282321899736,-8.08823529411765
85003,46.8992,7998,77.3818,8.4771,30.3576,8.0145,4.4449,46.715,12.5514,46452.915564144,0.54297095875969,0.7535,23.9239,77.9888,1.0878,6.9892,21.6929,20.03,4.001,1.4504,3.4509,0.6877,-15.624,4320.0441,60.8898,874.8299618483,11.8405,13.7659,11.3778,2.0255,1.3253,0.17767,0.24575,72.887,0.18891,"Maricopa",4.1657,6.7583,21.4048,20.8952,0.1108,0,4.8305,5.4509,1.3517,6.2043,6.581,12.3421,5.5839,4.3209,397,455,5.98645200528444,6.12249280951439,49.6374093523381,0,9.59,75.4063,14.7286,8.98694678940676,1.88955253030117,-8.9520202020202,3.57314012330136,8.9520202020202,-3.57314012330136
85004,48.436,7449,77.3929,5.5981,27.2117,10.1222,3.2197,71.4705,34.3739,36649.135258617,0.63226612845691,5.2326,31.9916,84.2312,14.3375,21.1438,18.8347,9.1422,0.7921,1.5573,1.9734,2.6715,61.5835,3651.6496,80.0384,973.99164927067,9.0616,10.6994,6.4035,2.3493,0.7115,0.17036,0.21958,76.499,0.18305,"Maricopa",3.7588,6.6146,16.4999,27.3127,0.3417,0.3661,2.8802,3.9297,2.27,7.5421,4.1006,16.5243,5.0281,2.8313,335,387,5.8171111599632,5.96100533962327,44.9724795274533,0,6.9943,83.2192,9.4643,8.91583507417628,2.17075360537718,-6.43935855519228,11.9306889982319,6.43935855519228,-11.9306889982319
85006,46.1773,29168,43.9454,3.7335,63.6828,26.4571,5.3614,48.4282,32.4735,36128.239127391,0.47018111214068,5.1057,16.5017,44.6415,1.6696,6.6443,22.3567,14.3411,6.9083,6.7848,6.9768,5.1426,10.3177,7471.9814,62.2274,805.97757036226,9.987,11.6463,5.0535,1.6079,0.792,0.16658,0.21511,76.341,0.17669,"Maricopa",1.294,6.3143,16.5419,16.6277,0.1013,0.2728,11.1397,6.3143,1.5903,9.9158,6.0571,14.7646,6.4234,2.6427,1174,1286,7.06902342657826,7.16006920759613,40.2495885902359,0,25.8125,66.645,7.4534,10.2808274969184,2.15845300464019,-2.46476037051953,5.85958622965158,2.46476037051953,-5.85958622965158
85007,51.9378,15172,47.5943,13.8479,52.3662,19.2855,6.6306,47.8817,30.3556,33031.558823772,0.56506,3.0266,13.7806,54.9772,1.6148,7.0656,20.1621,11.4619,6.3011,7.4875,8.865,3.1703,5.0329,3322.4425,65.6009,802.59096705548,11.2642,10.2623,7.527,3.289,1.338,0.17462,0.24381,71.761,0.20518,"Maricopa",2.0389,7.3909,19.2577,12.8385,0.3026,0.3664,5.0653,8.5378,2.5804,9.1749,6.2281,13.2845,8.9997,3.9344,1051,1172,6.95844839329766,7.06731984865348,69.2723437911943,0,25.8239,61.8309,12.154,9.62720690280879,1.80189128707426,-1.19595216191352,11.0076018962664,1.19595216191352,-11.0076018962664
85008,48.3773,66401,55.1061,12.4185,57.1874,26.1848,6.4965,52.3248,27.8106,39771.888371967,0.40108379449842,4.0453,13.2611,44.1655,2.6039,11.0902,21.462,11.4531,8.3945,6.7635,5.7725,5.3056,16.3175,6338.9553,76.9258,881.492094713,12.5149,8.9216,3.5557,1.4427,0.6762,0.23676,0.29912,68.877,0.24445,"Maricopa",1.7278,7.3452,15.9012,17.3927,0.3721,0,9.1645,5.3427,2.2328,11.4888,5.5465,17.0147,4.563,1.9079,3472,3703,8.15277405274407,8.21716859576607,52.288369151067,0,26.2361,68.0457,5.6746,11.1034673955921,1.57736639767248,-3.55796032136416,9.9114287184501,3.55796032136416,-9.9114287184501
85009,45.1837,49467,79.3115,4.7183,81.0136,31.3441,3.961,49.8533,34.111,30611.599808545,0.5258,2.9793,4.7836,28.7447,3.9582,9.5134,17.2256,13.3523,8.0336,7.4959,7.977,4.8962,5.7394,3166.6338,54.2609,787.9584674878,11.0255,9.8429,4.4858,1.5465,0.5943,0.1501,0.21936,69.969,0.19202,"Maricopa",0.751,4.781,13.3806,12.6402,0.8832,0.1534,17.4688,9.3135,2.8136,11.7728,6.9442,10.2443,6.4364,2.417,4992,5823,8.51579221050061,8.66974258987652,100.915762023167,0,28.4027,64.9179,6.6266,10.8090610595691,1.66238067618383,-6.58093564005304,8.34579473508623,6.58093564005304,-8.34579473508623
85012,52.6562,7266,92.7746,2.5461,12.703,6.4547,4.9248,35.6431,9.9389,67198.731471394,0.51227576677644,0.8705,31.4286,86.2876,1.7892,3.1241,12.9094,20.6991,5.629,3.9912,4.6931,1.5139,15.7191,3311.5631,43.4645,1032.7882550973,10.1569,17.9604,11.9736,2.8214,2.4085,0.28387,0.35332,66.199,0.28762,"Maricopa",2.6145,12.7719,14.1832,29.7547,0.4396,0.1851,2.4988,3.0079,2.2212,10.0185,7.1263,5.0671,3.3781,6.733,573,573,6.35262939631957,6.35262939631957,78.860445912469,0,15.8272,66.6391,17.2035,8.89096121278115,1.36887900037083,-0.501709737092886,4.24255604770763,0.501709737092886,-4.24255604770763
85013,47.9262,21458,72.9285,6.3799,24.4478,9.4324,3.9431,45.2162,15.6068,55474.85880252,0.49568385501358,3.3503,24.9605,81.7859,1.976,3.2808,20.659,14.4142,4.5018,5.2102,5.2801,3.2342,6.0807,5772.0655,54.5181,959.86995588517,16.241,13.6546,7.5496,2.5538,1.3282,0.26024,0.32591,69.572,0.25723,"Maricopa",1.7003,9.7869,18.1448,26.2154,0.0239,0,3.7838,3.9435,2.3389,10.8326,4.1271,8.3979,5.1648,5.54,749,835,6.62007320653036,6.7286286130847,34.9053965886849,0,18.2263,70.2256,11.4316,9.97385281519669,1.63147347053456,2.00371998647278,5.74468059101692,-2.00371998647278,-5.74468059101692
85014,48.2949,29206,61.1142,5.4681,32.0003,14.4148,5.027,46.4939,17.7873,49658.796337333,0.49937446653753,3.9166,25.5199,80.1848,1.8763,6.0775,20.5026,17.6573,4.6395,6.5945,5.112,2.0852,14.2958,6987.7667,66.9835,955.84851471249,13.4151,9.5597,6.8376,3.6362,1.9243,0.2902,0.358,65.534,0.29116,"Maricopa",3.1496,9.5932,15.8399,24.357,0.2231,0,6.4108,4.5276,2.4738,8.9108,4.1535,10.5118,6.4042,3.4449,1097,1189,7.00124562206948,7.08170858610557,37.5607751831815,0,18.4312,69.0885,12.3981,10.2821294466004,1.31710748461071,-12.3340498166646,17.0291613708714,12.3340498166646,-17.0291613708714
